timestamp,rtt,rtt_var,cwnd,ssthresh,bytes_sent,pacing_rate,retrans
13.8007,1.705,0.179,264,158,1737224389,1104034576,0
14.0762,0.919,0.106,274,158,1770567485,983189464,0
14.3757,1.541,0.228,137,158,1805614877,1148517472,17
14.6564,1.172,0.123,216,158,1841952437,1016165552,0
14.9234,1.288,0.224,290,158,1875939893,993679992,0
15.1858,1.639,0.166,312,158,1908770397,1239300656,0
15.4553,2.225,0.447,420,158,1940141317,1260683648,0
15.7241,1.948,0.098,234,158,1975863349,1496700360,25
16.0036,1.696,0.238,338,158,2008258005,1090699776,0
16.2843,1.075,0.121,270,158,2043281989,1054992192,0
16.5604,0.841,0.647,348,158,2077100029,1688701040,0
16.8785,1.132,0.329,278,158,2111711573,788641336,0
17.197,1.493,0.154,254,158,2150807573,1197754832,0
17.4784,1.284,0.29,302,158,2189961493,1482069872,0
17.7473,1.25,0.163,278,158,2224150221,1250287280,0
18.0207,1.266,0.127,204,158,2257142901,989212272,0
18.2885,1.731,0.55,306,158,2290784285,1369712816,0
18.579,1.629,0.141,264,158,2324560333,1084940136,0
18.9046,1.088,0.146,238,158,2361797101,1043997888,0
19.1835,1.331,0.176,210,158,2401486781,1082150544,0
19.4704,1.276,0.238,230,158,2435478581,1021454904,0
19.7528,1.349,0.248,236,158,2472784853,1057824168,0
20.0207,1.218,0.126,202,158,2507832245,1016165552,0
20.2912,1.168,0.136,202,158,2540412245,1006443344,0
20.5356,0.243,0.052,4,158,2569893525,1713693032,0
20.8182,1.1,0.194,400,158,2585290109,1545111128,0
21.0871,2.597,0.37,374,158,2622296645,982049296,0
21.3641,1.634,0.169,248,158,2655157557,1132657096,0
21.6395,1.608,0.165,288,158,2690193365,1575854560,0
21.9213,1.339,0.344,384,158,2724830973,1212348064,0
22.1996,1.612,0.2,342,158,2759426589,1043602104,0
22.4587,1.945,0.627,350,158,2795025669,1093672552,0
22.7005,0.552,0.085,344,158,2828210933,893141264,0
22.9689,1.139,0.125,262,158,2858391061,988238208,0
23.2456,1.357,0.134,296,158,2892220685,1239801024,0
23.5206,1.672,0.131,350,158,2926248685,1244345296,0
23.7957,1.144,0.106,280,158,2959920477,1566919632,0
24.0783,1.72,0.206,250,158,2994698461,1485012240,0
24.3489,1.461,0.277,280,158,3029430189,981508600,0
24.6419,2.715,0.305,302,158,3063922997,1431328688,0
24.8989,2.085,1.24,262,158,3101091709,1039409864,0
25.1818,0.999,0.147,308,158,3134644765,1004559464,0
25.449,1.14,0.198,216,158,3169611069,1274239920,0
25.725,1.229,0.157,308,158,3202260573,1042559688,0
26.0056,1.562,0.143,336,158,3237934949,1263495792,0
26.2671,1.313,0.243,290,158,3273451493,1447999752,0
26.53,1.611,0.143,266,158,3305727413,1184535552,0
26.8033,1.263,0.135,320,158,3337584861,989638128,0
27.0831,1.207,0.166,308,158,3371974861,1014424536,0
27.3453,1.228,0.141,240,158,3407682541,1009263008,0
27.6377,1.726,0.097,254,158,3440676669,1199745344,0
27.9149,2.633,0.351,360,158,3476792685,1113813520,0
28.1902,1.918,0.412,264,158,3511535997,1346027784,0
28.4675,1.194,0.953,310,158,3544495373,1526826016,0
28.7631,1.77,0.175,222,158,3579467469,995993824,0
29.0727,1.511,0.494,260,158,3616948949,1003946312,0
29.3308,3.256,3.143,880,158,3654024989,1466099624,0
29.6175,1.39,0.288,238,158,3686119909,1347640120,0
